# time(s) total(B)
0 0
0.318674 1829576
0.800413 1830656
1.08539 1833280
1.49621 3965600
2.04109 11420768
2.30147 13350360
2.71264 17712696
3.18717 19979776
3.47974 23178960
3.94386 23966192
4.24774 22427040
4.73715 26087592
5.09345 21787608
5.64853 34344200
6.0532 23333832
6.67339 23801272
7.04263 24054344
7.33646 26933312
7.77634 26572128
8.36293 31020344
8.72959 27231152
9.24349 30566016
9.75678 29527336
10.0368 31484856
10.4515 32861584
10.8521 34065888
11.196 35819400
11.5052 36376264
12.1185 38817856
12.5623 40904920
12.8479 41389864
13.4064 45973416
13.7793 47525304
14.251 46322464
14.8548 46146888
15.342 46148840
15.9343 48427936
16.4012 51152048
16.9931 51333688
17.316 54121000
17.6824 54812296
17.942 55830936
18.3247 97230944
20.4203 80317544
44.9443 63538632
45.2405 73033952
45.7872 73034656
46.152 73035184
46.7043 73035976
46.9648 73036416
47.272 73036768
47.5777 73037208
47.8414 73037648
48.1475 73038000
48.4202 54819616
