# time(s) total(B)
0 0
0.236307 1829576
0.647684 1830656
0.901119 1831376
1.16279 1832096
1.62568 4855864
2.04185 9461272
2.42849 14207000
2.81795 18432504
3.1332 26787080
3.35759 19030624
3.67212 19919880
3.88087 21932792
4.32047 19697448
4.59238 23449192
4.92702 21260224
5.38009 20740552
5.6907 34344104
5.93708 22432224
6.32605 25918408
6.56992 23932776
6.91045 23969744
7.34829 25118072
7.78408 26126952
8.07375 30650456
8.4586 27037128
8.84373 27238472
9.32651 31547392
9.80775 30132232
10.225 31882384
10.7115 33497720
11.0001 34280976
11.3337 36002080
11.5094 36332816
11.8853 39148072
12.3438 38551040
12.7539 40231696
13.0397 40740888
13.4487 45972408
13.7677 45479008
13.9993 45689144
14.2996 46235768
14.6829 46144856
14.9561 46146808
15.3351 46853200
15.6352 48174776
16.0247 49640680
16.2574 51150992
16.5575 50554072
17.0139 53032160
17.0688 53563424
17.1723 54119576
17.2426 55082016
17.4184 55005768
17.5942 55047960
17.7699 55154488
17.7983 55829528
18.01 80314912
18.0148 80314912
18.1804 97228312
23.2847 80314912
48.5587 63536000
48.7394 72163936
48.9182 72164200
49.0973 72164464
49.2916 80326656
49.4717 50396696
