# time(s) total(B)
0 0
0.24384 1829216
0.563657 1829936
0.813955 1831016
1.0374 1833280
1.30225 1839064
1.70561 5389248
1.99261 8696200
2.35874 13350360
2.64822 17147600
2.86035 17388056
3.14753 26787064
3.44511 19185968
3.9095 22048144
4.13106 19868360
4.49651 23122080
4.84353 20408176
5.04188 25635608
5.38938 20717440
5.7061 34344200
6.00614 22499632
6.30378 24823696
6.60223 23307216
6.80059 23870800
7.12277 24077696
7.44424 25003520
7.60505 26300240
7.92652 27032448
8.32849 27879688
8.56962 32657912
8.89114 27523216
9.29605 30264464
9.6176 28986624
9.86073 29245704
10.1969 31991528
10.5187 32886640
10.8423 33753192
11.0642 35095552
11.4298 36270768
11.7401 37901992
12.1969 39385016
12.6205 40904808
13.0497 40608224
13.2163 43593096
13.6085 45439440
13.8653 49127576
14.1522 45892904
14.5152 46145520
14.9225 46146984
15.1357 46147960
15.3823 46178624
15.5432 47147704
15.704 47950408
15.8649 48425552
16.0267 49284560
16.1023 49641512
16.2521 50137968
16.3066 50643288
16.335 51151840
16.496 50422248
16.6568 50625192
16.8176 51594632
16.933 51679648
16.9482 52507944
17.0914 53033376
17.1463 53564384
17.2499 54120472
17.3203 55082912
17.4811 54936168
17.6419 54878632
17.8029 55084632
17.8763 55830184
20.4396 457805056
20.5151 457805056
23.0232 457806120
23.1632 726376696
31.0781 457805056
58.5807 189367920
59.6161 323858160
59.8141 323858280
60.7914 323858280
60.9876 323858384
61.9649 323858384
62.1366 323858488
63.1139 323858488
64.1868 323858592
65.3186 323858696
65.5134 323858800
66.4906 323858800
67.5553 323858904
67.7211 323859008
68.6984 323859008
68.9144 323859112
69.8917 323859112
70.074 323859056
70.3125 592035208
71.1325 457813440
71.3126 50398104
